tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella baroniae	17	77	0	1	0	0	0	46	12	4	0	0	25	12	0	26	0	14	21	72	30	178	1	2	538
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	7	2	0	10	34	40	7	2	4	0	40	2	4	9	5	2	7	0	21	97	85	58	14	50	500
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	17	1	4	102	358	0	0	486
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	0	3	307	0	0	1	0	6	4	3	15	28	3	0	7	0	4	35	16	14	6	19	472
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter gnavus	1	54	0	4	46	0	0	4	0	0	0	0	93	0	1	0	49	1	47	34	44	16	39	5	438
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	0	13	0	9	122	1	0	7	0	1	0	0	27	56	14	1	7	1	8	27	22	6	80	16	418
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	8	6	0	22	3	88	10	9	5	0	127	3	12	8	21	5	14	1	0	19	27	9	9	11	417
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	5	2	0	33	13	46	15	40	6	1	2	0	12	33	30	25	12	15	6	9	17	14	28	30	394
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	13	0	0	52	0	0	0	29	11	0	0	0	0	228	0	0	0	0	0	0	0	0	20	40	393
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	10	0	0	32	87	25	6	14	5	1	2	2	8	37	11	8	7	5	11	42	11	35	3	21	383
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	0	0	0	0	1	0	0	0	0	0	155	39	126	0	0	0	11	0	3	8	13	0	7	0	363
