"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Hera_53"	"Hera"	"2023-05-01"	3	53	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B1"	"2019-08-29"
"Kubo_53"	"Kubo"	"2023-05-01"	2	53	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	"2019-02-02"
"Iris_55"	"Iris"	"2023-05-03"	3	55	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	"2016-05-10"
"Lambchop_55"	"Lambchop"	"2023-05-03"	3	55	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomF"	"F1"	"2017-05-13"
"Ophelia_55"	"Ophelia"	"2023-05-03"	1	55	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	"2017-08-06"
"Ophelia_57"	"Ophelia"	"2023-05-05"	2	57	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"washout_2"	"control-washout"	"RoomB"	"B2"	"2017-08-06"
"Wolverine_57"	"Wolverine"	"2023-05-05"	2	57	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"washout_2"	"control-washout"	"RoomB"	"B4"	"2014-09-28"
"Goose_58"	"Goose"	"2023-05-06"	3	58	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"washout_2"	"control-washout"	"RoomF"	"F1"	"2016-06-24"
"Wolverine_58"	"Wolverine"	"2023-05-06"	2	58	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"washout_2"	"control-washout"	"RoomB"	"B4"	"2014-09-28"
"Goose_59"	"Goose"	"2023-05-07"	2	59	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"washout_2"	"control-washout"	"RoomF"	"F1"	"2016-06-24"
"Hamlet_59"	"Hamlet"	"2023-05-07"	2	59	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"washout_2"	"control-washout"	"RoomB"	"B1"	"2017-03-05"
