tax	CHA-46-MGE-S38	CM-NTC-003	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	1	0	4	0	0	0	5	12	2	0	0	0	7	0	0	0	1	0	6	0	1	0	0	19	58
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	1	0	0	2	3	7	0	0	5	12	3	3	1	1	3	13	0	0	0	0	0	0	56
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	0	0	46	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	51
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	2	0	7	0	5	1	1	1	0	0	0	1	8	7	6	3	2	4	2	0	0	0	1	0	51
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	1	0	2	3	1	3	0	4	2	0	0	3	1	5	2	5	3	3	2	0	0	0	4	7	51
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	4	0	0	0	4	7	0	0	0	0	0	0	0	8	2	0	2	0	0	0	1	8	13	0	49
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;[Curtobacterium] plantarum	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	3	0	0	2	2	1	1	2	3	0	1	2	5	2	8	4	1	5	1	0	1	0	3	0	47
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	1	0	2	2	0	1	2	5	2	0	1	5	1	2	0	7	0	2	4	0	2	0	4	1	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	1	0	1	0	1	1	0	5	4	13	2	3	4	0	0	0	0	0	5	0	0	2	42
