tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	4	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	3	0	6	0	0	0	0	0	0	3	0	0	0	0	65	0	1	4	0	0	0	0	0	0	82
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	3	3	1	0	6	3	9	1	2	6	2	4	8	2	4	6	0	0	2	8	0	4	1	5	80
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	2	7	5	0	0	0	0	1	1	1	23	0	10	5	13	3	0	0	0	3	0	0	2	4	80
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	1	1	0	0	2	7	6	0	3	1	7	4	0	2	8	9	1	6	3	9	0	3	6	0	79
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	5	1	5	0	2	0	0	2	0	9	2	1	2	6	18	1	0	0	1	1	0	1	7	4	68
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	1	4	8	0	0	0	2	0	0	2	2	0	0	2	4	11	0	2	1	20	0	0	3	4	66
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	0	2	1	3	0	1	0	0	24	4	5	2	0	0	0	2	11	0	4	1	0	60
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	2	9	0	0	0	0	0	21	18	0	0	0	0	0	0	1	2	0	0	0	0	5	0	0	58
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	10	3	4	0	1	0	0	0	0	11	3	1	0	4	9	0	0	0	1	3	0	3	2	2	57
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	3	1	21	0	8	0	0	0	0	0	0	0	17	3	0	0	0	0	0	0	0	0	0	0	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	1	0	4	0	2	0	0	0	3	11	2	1	1	2	9	2	1	3	2	1	0	0	2	5	52
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	1	9	0	0	2	0	0	0	0	0	0	0	21	0	0	0	17	0	0	0	0	0	0	0	50
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	5	4	4	0	0	0	0	0	1	3	2	4	0	0	3	1	2	5	9	0	0	4	2	0	49
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	0	9	2	0	2	0	0	0	0	3	0	1	0	9	4	0	0	0	0	14	0	0	4	1	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	3	0	0	0	0	10	3	3	5	0	2	5	10	0	0	0	1	0	0	0	5	0	47
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	3	0	0	2	3	1	0	0	2	2	2	2	1	1	5	1	3	3	10	0	1	2	1	45
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	1	3	0	0	0	0	3	0	0	1	1	2	2	0	2	0	3	8	0	0	7	2	4	6	45
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	1	1	1	0	0	0	1	0	3	3	3	1	1	0	3	0	0	6	3	2	0	9	2	4	44
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	1	0	0	0	3	1	1	0	1	0	0	3	25	0	0	2	1	2	0	0	0	3	0	0	43
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	3	1	0	0	1	0	0	0	0	0	0	0	0	1	10	0	0	0	2	16	0	0	7	0	41
Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	1	2	1	0	1	0	0	0	2	3	1	0	2	0	7	2	1	0	1	5	0	0	4	6	39
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	5	2	0	0	2	1	3	1	2	1	2	1	2	0	0	2	3	2	1	0	0	3	2	3	38
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	1	6	1	0	5	0	0	0	0	0	0	0	18	0	0	0	4	0	0	0	0	0	0	2	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	1	1	0	0	5	0	0	0	0	0	0	2	14	0	0	1	8	0	1	0	0	0	2	0	35
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	2	3	0	0	2	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	35
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	3	0	0	4	0	0	1	0	2	2	1	1	1	2	2	1	1	2	3	0	1	3	3	34
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	0	3	3	0	3	0	0	0	0	0	0	0	5	1	2	2	0	4	1	6	0	0	1	3	34
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	1	1	0	0	0	1	1	0	0	0	1	2	1	2	5	0	0	1	5	3	0	3	1	4	32
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	0	0	0	0	0	0	0	0	2	0	0	16	0	9	0	0	0	0	1	0	0	1	1	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	2	0	0	0	0	0	0	0	2	0	11	1	0	0	1	0	0	0	11	0	28
