tax	BUD-46-MGE-S81	CM-NTC-005	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Bilifractor;Bilifractor porci	47	0	32	58	13	19	45	17	44	86	29	55	15	172	0	109	27	9	42	38	23	25	8	13	926
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	124	0	0	0	0	0	46	0	171	143	152	0	0	0	84	2	0	0	0	0	0	0	0	0	722
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	5	0	22	0	0	0	0	57	25	66	226	53	64	0	30	18	3	7	0	20	4	0	101	0	701
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	19	0	0	0	1	0	0	74	26	7	6	180	79	13	0	115	22	8	0	0	0	92	37	4	683
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	57	0	30	28	0	68	357	0	0	0	0	2	0	0	1	35	0	0	0	3	4	40	625
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	62	0	22	47	36	14	41	10	29	23	29	13	40	43	36	30	6	7	25	1	11	40	31	16	612
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	1	0	0	0	0	0	0	34	0	0	0	62	107	1	0	184	70	31	0	0	0	83	0	0	573
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	81	0	0	0	0	0	30	0	144	84	109	0	0	0	52	5	0	0	0	0	0	2	3	5	515
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	22	0	13	12	6	4	38	21	26	85	27	19	4	114	0	29	8	5	12	23	13	9	4	14	508
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	10	0	6	15	0	1	7	44	3	31	5	114	23	20	2	100	33	10	0	16	1	18	31	1	491
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	26	0	15	12	10	28	29	2	37	72	87	23	23	31	0	6	9	0	7	7	31	5	1	11	472
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	2	0	0	0	0	14	2	1	4	85	154	14	0	59	23	23	6	36	0	23	5	0	452
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	62	0	0	0	0	0	31	0	112	81	102	0	0	0	52	0	1	0	0	0	1	1	1	3	447
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	151	0	0	0	0	0	32	3	0	0	0	0	0	13	0	65	37	13	0	0	9	18	9	85	435
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	10	0	9	16	11	4	8	13	27	28	6	56	20	43	5	93	30	8	5	11	4	17	4	3	431
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	93	0	1	8	2	2	13	7	38	6	6	21	35	45	13	49	14	19	7	2	15	32	0	0	428
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	23	0	0	0	0	0	0	10	101	9	23	14	22	2	0	77	28	48	7	14	0	27	2	9	416
