tax	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	HAM-17-MGE-S5	IRI-16-MGE-S1	JAR-2-MGE-S4	JAR-3-MGE-S19	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	0	0	5	12	0	0	0	14	0	0	0	0	0	31
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	0	6	4	0	0	0	21	0	0	0	0	0	31
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	27	0	0	0	0	0	0	0	0	0	0	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	0	0	3	2	0	0	0	22	0	0	0	0	0	27
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	25	0	0	0	0	0	0	0	1	0	0	0	26
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Gemellaceae;Gemella;Gemella taiwanensis	0	26	0	0	0	0	0	0	0	0	0	0	0	26
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	0	0	0	0	0	0	25	0	0	0	0	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	0	16	6	0	0	0	3	0	0	0	0	0	25
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	0	5	9	0	0	0	11	0	0	0	0	0	25
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	3	0	0	0	0	21	0	0	0	0	0	24
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata	0	23	0	0	0	0	0	0	0	0	0	0	0	23
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	0	0	1	5	0	0	0	16	0	0	0	0	0	22
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	0	1	12	0	0	0	9	0	0	0	0	0	22
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	0	18	2	0	0	0	1	0	0	0	0	0	21
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	0	11	9	0	0	0	0	0	0	0	0	0	20
