tax	BUD-17-MGE-S232	BUD-18-MGE-S250	CM-NTC-012	GIN-24-MGE-S240	GIN-42-MGE-S241	HAM-20-MGE-S235	HAM-46-MGE-S243	HEN-22-MGE-S238	IRI-18-MGE-S233	IRI-20-MGE-S253	IRI-55-MGE-S247	IVY-18-MGE-S234	IVY-19-MGE-S252	IVY-55-MGE-S248	JAR-18-MGE-S249	JAR-52-MGE-S246	JOA-11-MGE-S231	KUB-22-MGE-S237	KUB-45-MGE-S242	KUB-49-MGE-S245	OPH-20-MGE-S236	WOL-19-MGE-S251	WOL-24-MGE-S239	WOL-48-MGE-S244	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Waltera;Waltera intestinalis	3	5	1	4	5	3	1	13	4	10	13	29	47	14	0	6	3	6	0	2	6	5	4	4	188
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	8	2	0	1	37	4	25	6	13	2	5	5	10	3	2	11	10	1	0	5	1	4	1	12	168
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	6	0	0	7	6	0	5	9	11	26	21	4	7	11	3	13	6	2	0	2	1	10	7	5	162
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	2	1	0	0	0	0	0	1	0	0	0	30	116	9	0	1	0	0	0	0	2	0	0	0	162
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	10	0	0	0	0	0	0	0	20	37	19	6	1	0	0	0	0	1	0	4	0	52	3	3	156
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	2	2	0	0	3	5	2	1	52	3	1	9	4	30	0	0	0	2	0	3	11	20	2	1	153
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	7	0	0	1	20	1	17	4	23	2	3	5	13	1	0	5	8	0	0	8	0	16	4	8	146
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	6	0	0	0	0	6	2	0	2	32	24	0	0	3	1	0	1	3	0	2	13	34	11	4	144
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	1	0	0	1	16	6	11	1	10	2	4	9	8	26	7	1	4	2	0	5	7	7	8	6	142
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	0	0	9	3	1	17	18	8	10	16	2	12	0	0	0	10	0	3	8	14	0	3	134
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis (ex Bordigoni et al. 2020)	8	0	0	11	9	1	6	11	2	5	4	5	7	9	6	17	5	9	0	11	1	4	0	2	133
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	2	0	0	1	1	0	2	2	2	3	0	0	0	30	19	0	0	24	0	5	23	7	8	0	129
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	4	5	0	4	1	3	5	5	15	12	5	3	1	7	4	9	4	3	0	13	0	12	5	7	127
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	0	0	0	0	0	0	22	14	7	10	4	5	2	2	0	0	0	0	0	48	0	4	118
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	1	0	0	0	2	0	0	0	20	17	9	9	5	3	2	2	1	1	0	1	0	39	0	3	115
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	0	0	0	0	1	0	1	0	0	0	9	30	26	0	0	0	7	0	22	6	0	8	3	113
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	0	0	0	0	0	0	0	0	17	10	9	7	17	8	0	0	2	0	0	1	0	29	5	1	106
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	64	0	0	0	0	0	0	0	2	2	1	21	6	1	0	0	0	0	0	0	0	3	0	0	100
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	0	0	0	0	0	0	0	0	23	16	25	0	0	0	0	0	3	0	0	0	0	19	2	11	99
