"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"njc123"	0	0.6	0	0.38	0	0.13	0	0	0	1.4	0	1.84	0	1.55	0.07	0	0	0.12	39.6	1.45	19.02	0.18	0.95	0	1	0	3.78	0.23	0	0.65
"njc124"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc125"	32.01	25.63	24.39	21	0.78	17.89	22.31	20.38	0.28	13.51	1.25	11.36	0.58	10.23	3.35	26.4	9.93	15.68	25.18	17.36	45.3	14.63	20.42	10.1	5.24	4.45	38.25	1.75	43.71	16.62
"njc126"	0.23	0.08	0.35	0.25	0	0.53	0.88	0.2	0.03	0.08	0	0.29	0.05	0.1	0.05	0.83	0.55	0.22	0.1	0.63	0.12	0.3	0.28	0.07	0.23	0.13	0.98	0.15	1.55	0.43
"njc127"	0	0.08	0	0.05	0	0.08	0	0.03	0	0.18	0.03	0.09	0	0	0	0	0.3	0	0.07	0.2	0.1	0	0.03	0	0.2	0	0.65	0	0.03	0
"njc128"	0	0.05	0.03	0.05	0	0.18	0.08	0.32	0.05	0	0	0.21	0	0.05	0	0.05	4.1	0.1	0.17	0.05	0.05	0.08	0.03	0.42	0.18	2.35	0.2	0.05	0.05	0.28
"njc129"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc130"	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	4	0	0.07	0	0	0	0	0.07	0.03	1.08	0.03	0	0	0
"njc131"	0	0.03	0.03	0	0	0	0.03	0.25	0	0	0	0	0	0.03	0	0	4.08	0.05	0.07	0	0	0.03	0.03	0.17	0.03	1.53	0.05	0	0	0.13
"njc132"	0	0.03	0	0.03	0	0.1	0.05	0.3	0.05	0.03	0	0.24	0	0.03	0	0.05	4	0.03	0.1	0.08	0	0.03	0	0.12	0.13	1.23	0.48	0	0.03	0.05
"njc133"	0	0.03	0	0.05	0	0.18	0.05	0.07	0.05	0	0	0.21	0	0.03	0	0.05	0	0.05	0.03	0.05	0	0.05	0	0.05	0.15	0.18	0.13	0.05	0.05	0.15
