tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	1	1	0	5	6	4	3	0	0	6	3	11	4	5	14	4	0	0	3	1	15	3	3	92
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	1	1	0	0	6	5	3	0	0	0	11	3	8	1	2	14	6	2	4	8	0	13	1	2	91
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	0	2	0	0	2	5	7	0	1	0	21	0	5	0	4	8	3	1	1	6	1	16	1	7	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	3	0	0	15	1	3	4	1	0	3	0	16	0	1	14	7	1	3	12	0	0	0	3	87
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	1	0	0	2	0	0	5	5	4	1	55	2	5	0	0	1	2	0	0	0	0	0	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella shahii	2	0	0	0	12	7	2	0	0	0	0	0	0	0	28	7	10	0	0	0	1	2	0	10	81
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	73	0	0	0	0	0	75
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	0	0	2	31	0	0	0	0	0	12	0	0	0	0	1	25	1	0	0	0	2	0	74
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	3	1	0	0	1	2	0	0	0	0	16	4	10	3	7	8	3	2	3	3	2	4	0	2	74
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Caecibacter;Caecibacter massiliensis	1	0	0	0	5	7	2	1	0	1	0	1	2	6	3	6	1	0	0	4	2	3	1	26	72
