"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"njc34"	0.3	0.98	0.43	1.4	0.63	2.65	0.08	1.5	0.07	0.4	27.98	4.63	0.9	8.68	0	1	7.97	0.28	0.15	0.11	1.32	1.78	2.33	0.01	0.38	0.61	3.95	0.88	0.05	0.7	0.25	5.42	0.15	2.03
"njc35"	0.38	1.27	7.03	1.63	3.7	5.95	2.8	4.95	0.32	0.75	28.03	4.75	16.02	8.98	19.96	1.05	8.07	0.45	0.32	23.3	16.42	2.35	17.72	18.44	0.45	0.89	22.61	16.32	21.66	1.77	10.2	10.35	0.5	2.35
"njc36"	37.17	41.52	24.36	26.51	44.81	19.53	28.3	39.88	59.58	46.1	32.98	20.16	11.72	38.28	10.58	3.33	23.09	1.45	24.08	4.82	9.85	16.71	11.44	18.47	34.81	18.9	13.28	31.36	17.03	14.4	19.49	15.43	22.3	32.02
"njc37"	37.23	42.02	22.56	27.23	44.86	20.94	27.4	39.23	59.2	46.32	51.09	21.34	11.88	43.68	4.65	3.38	28.23	1.33	22.9	7.72	4.8	16.53	5.93	11.89	34.78	18.48	8.63	27.98	9.03	14.78	16.34	15.65	20.38	32.34
"njc38"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc39"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc40"	0.22	1.9	0.28	0.38	0.58	0.93	0.3	1.6	1	0.45	5.98	2.13	0.48	3.3	0.3	0.58	14.26	0.75	0.28	7.72	1.5	1.89	2.7	0.9	0.38	1.55	3.85	0.95	0.23	0.65	0.34	1.93	4.72	0.53
"njc41"	0	0.12	0.05	0	0.08	0.03	0.03	0.45	0.1	0.03	3.05	0.08	0.1	1.35	0.05	0.03	0.43	0	0.05	0.04	0.6	0.06	0.73	0.13	0	0.23	1.23	0.3	0.18	0.1	0.11	0.25	0	0.03
"njc42"	0	0	0.03	0	0.03	0.03	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.15	0.07	0.01	0.1	0.14	0	0	0.05	0.03	0.15	0	0.14	0.03	0	0
"njc43"	0	0.12	0.05	0	0.03	0.03	0.03	0.45	0	0	3.05	0.08	0	1.3	0	0.03	0.5	0	0.03	5.2	0.5	0.03	0.63	0	0	0.18	1.18	0.28	0	0.07	0.01	0.15	0	0.03
"njc44"	37.33	42.7	24.49	26.58	45.08	19.66	28.4	40.33	59.75	46.17	33.16	20.89	11.85	38.75	10.66	3.43	29.76	1.48	24.23	11.85	10.12	16.96	11.71	18.78	35.08	19.57	13.58	31.91	17.25	15.05	19.93	15.72	23.12	32.19
"njc45"	0	0.12	0.05	0	0.08	0.03	0.03	0.45	0.1	0.03	3.05	0.08	0.1	1.38	0.05	0.03	0.43	0	0.05	0.04	0.6	0.06	0.75	0.13	0	0.24	1.23	0.3	0.18	0.1	0.11	0.25	0.03	0.03
"njc46"	0	0.05	0.05	0	0	0	0	0.38	0	0	0.98	0	0	0.3	0	0	0.15	0	0	0	0.45	0	0.6	0	0	0.08	1	0.25	0	0.07	0	0	0	0
